route_id;service_id;trip_id;trip_headsign;direction_id;block_id;wheelchair_accessible;bikes_allowed;route_short_names;Jours validité
7;TF2_RO-2-31;28465;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28466;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28467;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28468;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_RO-2-31;28469;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
90;T23_MV-2-32;2847;Boulingrin ROUEN;1;;;;Métro;0000010
7;TF2_RO-2-31;28470;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;T23_MV-2-32;28471;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28472;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28473;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28474;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28475;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28476;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28477;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28478;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28479;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
90;T23_VE-2-127;2848;Boulingrin ROUEN;1;;;;Métro;1111111
7;T23_MV-2-32;28480;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28481;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28482;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28483;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28484;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28485;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28486;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28487;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28488;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28489;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
90;T23_VE-2-127;2849;Boulingrin ROUEN;1;;;;Métro;1111111
7;T23_MV-2-32;28490;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28491;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28492;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28493;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28494;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28495;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28496;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28497;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28498;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28499;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
92;T23_BL-2-31;285;Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE;1;;;;T2;1111100
90;T23_VE-2-127;2850;Boulingrin ROUEN;1;;;;Métro;1111111
7;T23_MV-2-32;28500;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28501;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28502;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28503;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28504;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28505;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28506;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28507;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28508;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28509;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
90;T23_VE-2-127;2851;Boulingrin ROUEN;1;;;;Métro;1111111
7;T23_MV-2-32;28510;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28511;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28512;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28513;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28514;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28515;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28516;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28517;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28518;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28519;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
90;T23_VE-2-127;2852;Boulingrin ROUEN;1;;;;Métro;1111111
7;T23_MV-2-32;28520;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28521;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28522;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28523;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28524;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28525;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28526;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28527;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28528;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28529;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
90;T23_VE-2-127;2853;Boulingrin ROUEN;1;;;;Métro;1111111
7;T23_MV-2-32;28530;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28531;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28532;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28533;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28534;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28535;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28536;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28537;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28538;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_MV-2-32;28539;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
90;T23_VE-2-127;2854;Boulingrin ROUEN;1;;;;Métro;1111111
7;T23_MV-2-32;28540;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;0000010
7;T23_VE-2-127;28541;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28542;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28543;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28544;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28545;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28546;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28547;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28548;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28549;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
90;T23_VE-2-127;2855;Boulingrin ROUEN;1;;;;Métro;1111111
7;T23_VE-2-127;28550;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28551;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28552;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28553;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28554;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28555;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28556;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28557;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28558;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28559;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
90;T23_VE-2-127;2856;Boulingrin ROUEN;1;;;;Métro;1111111
7;T23_VE-2-127;28560;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28561;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28562;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28563;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;T23_VE-2-127;28564;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111111
7;TF2_BL-2-31;28565;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28566;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28567;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
7;TF2_BL-2-31;28568;Hôtel de Ville SOTTEVILLE-LÈS-ROUEN;0;;;;F7;1111100
