service_id;date;exception_type
INT_BL-2-31;20240529;2
INT_BL-2-31;20240530;2
INT_BL-2-31;20240531;2
INT_BL-2-31;20240603;2
INT_BL-2-31;20240604;2
INT_BL-2-31;20240605;2
INT_BL-2-31;20240606;2
INT_BL-2-31;20240607;2
INT_BL-2-31;20240610;2
INT_BL-2-31;20240611;2
INT_BL-2-31;20240612;2
INT_BL-2-31;20240613;2
INT_BL-2-31;20240614;2
INT_BL-2-31;20240617;2
INT_BL-2-31;20240618;2
INT_BL-2-31;20240619;2
INT_BL-2-31;20240620;2
INT_BL-2-31;20240621;2
INT_MV-2-32;20231111;2
INT_RO-2-27;20231023;2
INT_RO-2-27;20231024;2
INT_RO-2-27;20231026;2
INT_RO-2-27;20231027;2
INT_RO-2-27;20231030;2
INT_RO-2-27;20231031;2
INT_RO-2-27;20231102;2
INT_RO-2-27;20231103;2
INT_RO-2-27;20231225;2
INT_RO-2-27;20231226;2
INT_RO-2-27;20231228;2
INT_RO-2-27;20231229;2
INT_RO-2-27;20240101;2
INT_RO-2-27;20240102;2
INT_RO-2-27;20240104;2
INT_RO-2-27;20240105;2
INT_RO-2-27;20240226;2
INT_RO-2-27;20240227;2
INT_RO-2-27;20240229;2
INT_RO-2-27;20240301;2
INT_RO-2-27;20240304;2
INT_RO-2-27;20240305;2
INT_RO-2-27;20240307;2
INT_RO-2-27;20240308;2
INT_RO-2-27;20240401;2
INT_RO-2-27;20240422;2
INT_RO-2-27;20240423;2
INT_RO-2-27;20240425;2
INT_RO-2-27;20240426;2
INT_RO-2-27;20240429;2
INT_RO-2-27;20240430;2
INT_RO-2-27;20240502;2
INT_RO-2-27;20240503;2
INT_RO-2-27;20240509;2
INT_RO-2-27;20240510;2
INT_RO-2-27;20240520;2
INT_RO-2-31;20231023;2
INT_RO-2-31;20231024;2
INT_RO-2-31;20231025;2
INT_RO-2-31;20231026;2
INT_RO-2-31;20231027;2
INT_RO-2-31;20231030;2
INT_RO-2-31;20231031;2
INT_RO-2-31;20231101;2
INT_RO-2-31;20231102;2
INT_RO-2-31;20231103;2
INT_RO-2-31;20231225;2
INT_RO-2-31;20231226;2
INT_RO-2-31;20231227;2
INT_RO-2-31;20231228;2
INT_RO-2-31;20231229;2
INT_RO-2-31;20240101;2
INT_RO-2-31;20240102;2
INT_RO-2-31;20240103;2
INT_RO-2-31;20240104;2
INT_RO-2-31;20240105;2
INT_RO-2-31;20240226;2
INT_RO-2-31;20240227;2
INT_RO-2-31;20240228;2
INT_RO-2-31;20240229;2
INT_RO-2-31;20240301;2
INT_RO-2-31;20240304;2
INT_RO-2-31;20240305;2
INT_RO-2-31;20240306;2
INT_RO-2-31;20240307;2
INT_RO-2-31;20240308;2
INT_RO-2-31;20240401;2
INT_RO-2-31;20240422;2
INT_RO-2-31;20240423;2
INT_RO-2-31;20240424;2
INT_RO-2-31;20240425;2
INT_RO-2-31;20240426;2
INT_RO-2-31;20240429;2
INT_RO-2-31;20240430;2
INT_RO-2-31;20240501;2
INT_RO-2-31;20240502;2
INT_RO-2-31;20240503;2
INT_RO-2-31;20240508;2
INT_RO-2-31;20240509;2
INT_RO-2-31;20240510;2
INT_RO-2-31;20240520;2
INT_RO-2-4;20231025;2
INT_RO-2-4;20231101;2
INT_RO-2-4;20231227;2
INT_RO-2-4;20240103;2
INT_RO-2-4;20240228;2
INT_RO-2-4;20240306;2
INT_RO-2-4;20240424;2
INT_RO-2-4;20240501;2
INT_RO-2-4;20240508;2
INT_VE-2-127;20230911;2
INT_VE-2-127;20230912;2
INT_VE-2-127;20230913;2
INT_VE-2-127;20230914;2
INT_VE-2-127;20230915;2
INT_VE-2-127;20230916;2
INT_VE-2-127;20230918;2
INT_VE-2-127;20230919;2
INT_VE-2-127;20230920;2
INT_VE-2-127;20230921;2
INT_VE-2-127;20230922;2
INT_VE-2-127;20230923;2
INT_VE-2-127;20230925;2
INT_VE-2-127;20230926;2
INT_VE-2-127;20230927;2
INT_VE-2-127;20230928;2
INT_VE-2-127;20230929;2
INT_VE-2-127;20230930;2
INT_VE-2-127;20231002;2
INT_VE-2-127;20231003;2
INT_VE-2-127;20231004;2
INT_VE-2-127;20231005;2
INT_VE-2-127;20231006;2
INT_VE-2-127;20231007;2
INT_VE-2-127;20231009;2
INT_VE-2-127;20231010;2
INT_VE-2-127;20231011;2
INT_VE-2-127;20231012;2
INT_VE-2-127;20231013;2
INT_VE-2-127;20231014;2
INT_VE-2-127;20231016;2
INT_VE-2-127;20231017;2
INT_VE-2-127;20231018;2
INT_VE-2-127;20231019;2
INT_VE-2-127;20231020;2
INT_VE-2-127;20231021;2
INT_VE-2-127;20231023;2
INT_VE-2-127;20231024;2
INT_VE-2-127;20231025;2
INT_VE-2-127;20231026;2
INT_VE-2-127;20231027;2
INT_VE-2-127;20231028;2
INT_VE-2-127;20231030;2
INT_VE-2-127;20231031;2
INT_VE-2-127;20231102;2
INT_VE-2-127;20231103;2
INT_VE-2-127;20231104;2
INT_VE-2-127;20231106;2
INT_VE-2-127;20231107;2
INT_VE-2-127;20231108;2
INT_VE-2-127;20231109;2
INT_VE-2-127;20231110;2
INT_VE-2-127;20231113;2
INT_VE-2-127;20231114;2
INT_VE-2-127;20231115;2
INT_VE-2-127;20231116;2
INT_VE-2-127;20231117;2
INT_VE-2-127;20231118;2
INT_VE-2-127;20231120;2
INT_VE-2-127;20231121;2
INT_VE-2-127;20231122;2
INT_VE-2-127;20231123;2
INT_VE-2-127;20231124;2
INT_VE-2-127;20231125;2
INT_VE-2-127;20231127;2
INT_VE-2-127;20231128;2
INT_VE-2-127;20231129;2
INT_VE-2-127;20231130;2
INT_VE-2-127;20231201;2
INT_VE-2-127;20231202;2
INT_VE-2-127;20231204;2
INT_VE-2-127;20231205;2
INT_VE-2-127;20231206;2
INT_VE-2-127;20231207;2
INT_VE-2-127;20231208;2
INT_VE-2-127;20231209;2
INT_VE-2-127;20231211;2
INT_VE-2-127;20231212;2
INT_VE-2-127;20231213;2
INT_VE-2-127;20231214;2
INT_VE-2-127;20231215;2
INT_VE-2-127;20231216;2
INT_VE-2-127;20231218;2
INT_VE-2-127;20231219;2
INT_VE-2-127;20231220;2
INT_VE-2-127;20231221;2
INT_VE-2-127;20231222;2
INT_VE-2-127;20231223;2
INT_VE-2-127;20231226;2
INT_VE-2-127;20231227;2
INT_VE-2-127;20231228;2
INT_VE-2-127;20231229;2
INT_VE-2-127;20231230;2
INT_VE-2-127;20240102;2
INT_VE-2-127;20240103;2
INT_VE-2-127;20240104;2
INT_VE-2-127;20240105;2
INT_VE-2-127;20240106;2
INT_VE-2-127;20240108;2
INT_VE-2-127;20240109;2
INT_VE-2-127;20240110;2
INT_VE-2-127;20240111;2
INT_VE-2-127;20240112;2
INT_VE-2-127;20240113;2
INT_VE-2-127;20240115;2
INT_VE-2-127;20240116;2
INT_VE-2-127;20240117;2
INT_VE-2-127;20240118;2
INT_VE-2-127;20240119;2
INT_VE-2-127;20240120;2
INT_VE-2-127;20240122;2
INT_VE-2-127;20240123;2
INT_VE-2-127;20240124;2
INT_VE-2-127;20240125;2
INT_VE-2-127;20240126;2
INT_VE-2-127;20240127;2
INT_VE-2-127;20240129;2
INT_VE-2-127;20240130;2
INT_VE-2-127;20240131;2
INT_VE-2-127;20240201;2
INT_VE-2-127;20240202;2
INT_VE-2-127;20240203;2
INT_VE-2-127;20240205;2
INT_VE-2-127;20240206;2
INT_VE-2-127;20240207;2
INT_VE-2-127;20240208;2
INT_VE-2-127;20240209;2
INT_VE-2-127;20240210;2
INT_VE-2-127;20240212;2
INT_VE-2-127;20240213;2
INT_VE-2-127;20240214;2
INT_VE-2-127;20240215;2
INT_VE-2-127;20240216;2
INT_VE-2-127;20240217;2
INT_VE-2-127;20240219;2
INT_VE-2-127;20240220;2
INT_VE-2-127;20240221;2
INT_VE-2-127;20240222;2
INT_VE-2-127;20240223;2
INT_VE-2-127;20240224;2
INT_VE-2-127;20240226;2
INT_VE-2-127;20240227;2
INT_VE-2-127;20240228;2
INT_VE-2-127;20240229;2
INT_VE-2-127;20240301;2
INT_VE-2-127;20240302;2
INT_VE-2-127;20240304;2
INT_VE-2-127;20240305;2
INT_VE-2-127;20240306;2
INT_VE-2-127;20240307;2
INT_VE-2-127;20240308;2
INT_VE-2-127;20240309;2
INT_VE-2-127;20240311;2
INT_VE-2-127;20240312;2
INT_VE-2-127;20240313;2
INT_VE-2-127;20240314;2
INT_VE-2-127;20240315;2
INT_VE-2-127;20240316;2
INT_VE-2-127;20240318;2
