stop_id;stop_name;stop_lat;stop_lon
2131;LIBERTE;49.28415;1.00834
2132;LIBERTE;49.284578;1.00852
2171;BOUT DU GARD;49.278933;1.008217
2172;BOUT DU GARD;49.2789;1.008283
2181;ST CYR;49.277479;1.006281
2182;ST CYR;49.277352;1.005475
2191;PARC ST CYR;49.276;1.005
2192;PARC ST CYR;49.276;1.005
2203;MANDELA;49.280932;1.007624
2204;MANDELA;49.281247;1.007824
2205;MANDELA;49.282275;1.007203
2211;SEVESTRE AINE;49.290436;1.000847
2212;SEVESTRE AINE;49.290518;1.000938
2221;FRAENCKEL;49.289494;1.007754
2222;FRAENCKEL;49.289;1.00735
2231;FLAVIGNY;49.287131;1.016117
2232;FLAVIGNY;49.287044;1.017248
3001;MOULIN SAINT ETIENNE;49.293304;1.001608
3002;MOULIN SAINT ETIENNE;49.2928;1.00145
3041;BOUT DU COUVENT;49.291246;0.998593
3042;BOUT DU COUVENT;49.290864;0.999223
3051;EGLISE ST JEAN;49.291264;1.003938
3052;EGLISE ST JEAN;49.291394;1.003915
3061;MAIRIE D ELBEUF;49.290922;1.006927
3062;MAIRIE D ELBEUF;49.290953;1.007245
3091;PARC DU CEDRE;49.287107;1.021964
3092;PARC DU CEDRE;49.287176;1.022096
3101;LAMARTINE;49.287523;1.026168
3102;LAMARTINE;49.287633;1.026192
3111;FELIX FAURE;49.288488;1.031535
3112;FELIX FAURE;49.288531;1.031548
3121;Z.I. L OISON;49.29005;1.0406
3122;Z.I. L OISON;49.2899;1.0391
3123;MC DONALDS;49.2893;1.0362
3124;MC DONALDS;49.28949;1.03683
3181;MARIE SAMSON;49.275622;1.045494
3182;MARIE SAMSON;49.275586;1.045423
3191;MAIRIE DE ST PIERRE;49.2766;1.04157
3192;MAIRIE DE ST PIERRE;49.2766;1.0413
3231;RTE DE LOUVIERS;49.268647;1.045567
3232;RTE DE LOUVIERS;49.268516;1.045859
3241;LIEROULT;49.2652;1.0514
3242;LIEROULT;49.2651;1.0516
3321;RENAULT;49.30987;1.0444
3322;RENAULT;49.31;1.0441
3351;ANTES EST;49.32827;1.09924
3352;ANTES EST;49.328163;1.099394
3361;ANTES SUD;49.327975;1.09557
3362;ANTES SUD;49.327778;1.095756
3371;ANTES OUEST;49.329219;1.093977
3372;ANTES OUEST;49.329309;1.093947
3381;ANTES NORD;49.330837;1.098002
3382;ANTES NORD;49.330878;1.098087
4011;BUQUET L EPINE;49.2894;0.9771
4012;BUQUET L EPINE;49.2894;0.9776
4021;PAVILLON;49.290845;0.980127
4022;PAVILLON;49.29107;0.9801
4031;GROTTE MULOT;49.28928;0.989524
4032;GROTTE MULOT;49.289163;0.989083
4041;OREE DU BOIS;49.289214;0.993882
4042;OREE DU BOIS;49.288939;0.99452
4051;LES ARCHES;49.289;0.9971
4052;LES ARCHES;49.28924;0.9973
4061;PETOU;49.28821;0.999288
4062;PETOU;49.287926;0.999823
4071;POUSSIN;49.286813;1.00183
4072;POUSSIN;49.28673;1.002106
4081;I.U.T.;49.28466;1.0058
4082;I.U.T.;49.2848;1.00567
4111;PORTE VERTE;49.28572;1.031087
4112;PORTE VERTE;49.285554;1.030884
4121;ECHANTILLONNEURS;49.28305;1.03156
4122;ECHANTILLONNEURS;49.2832;1.0315
4131;ESPACE CORTO MALTESE;49.282428;1.033241
4132;ESPACE CORTO MALTESE;49.282838;1.033137
4141;LA VILLETTE;49.2833;1.037639
4142;LA VILLETTE;49.283317;1.037467
4151;SAULNIERS;49.281703;1.038878
4152;SAULNIERS;49.281435;1.039051
4161;J.E. BLANCHE;49.27779;1.040456
4162;J.E. BLANCHE;49.279115;1.040061
4171;GALBOIS;49.273831;1.046542
4172;GALBOIS;49.273833;1.046616
4181;JULES VERNE;49.27123;1.046704
4182;JULES VERNE;49.271226;1.047107
4201;ARGILIER;49.266035;1.056198
4202;ARGILIER;49.266061;1.056363
4211;BAUDELAIRE;49.264171;1.060661
4212;BAUDELAIRE;49.264131;1.060937
4221;VERLAINE;49.262761;1.062195
4222;VERLAINE;49.26273;1.062304
4231;BOSC TARD;49.2634;1.0573
4232;BOSC TARD;49.2634;1.0573
4241;BREANT;49.265152;1.053917
4242;BREANT;49.265285;1.054044
4251;VAL CARON;49.2904;0.97558
4252;VAL CARON;49.29044;0.97562
4261;PERE FRETE;49.2914;0.9714
4262;PERE FRETE;49.2915;0.9716
4271;PUITS A SILEX;49.2894;0.96965
4272;PUITS A SILEX;49.28965;0.9696
4281;LES CHENES;49.28716;0.97073
4282;LES CHENES;49.287;0.9705
4291;CHARTRIER;49.28894;0.97445
4292;CHARTRIER;49.2889;0.9744
5031;P. ET M. CURIE;49.311896;1.030974
5032;P. ET M. CURIE;49.311866;1.031149
